,word,frequent
1551,arah,2
1552,buvaksin,2
1553,manavaksin,2
1554,skr,2
1555,uhcmaaf,2
1556,tappa,2
1557,cicil,2
1558,uhcmalam,2
1559,pripun,2
1560,admindaftar,2
1561,agnya,2
1562,i,2
1563,dosisadmin,2
1564,adminsiang,2
1565,da,2
1566,pecat,2
1567,prushaan,2
1568,tny,2
1569,q,2
1570,jamu,2
1571,suplemen,2
1572,termorex,2
1573,herbal,2
1574,sekrg,2
1575,aduh,2
1576,bny,2
1577,terimakasihselamat,2
1578,saudara,2
1579,riwayat,2
1580,nolak,2
1581,ankutan,2
1582,kb,2
1583,rswn,2
1584,serviks,2
1585,mobile,2
1586,customer,2
1587,service,2
1588,smsresiko,2
1589,apoteker,2
1590,bkd,2
1591,jama,2
1592,ah,2
1593,smsatas,2
1594,smsobat,2
1595,handayani,2
1596,smsawat,2
1597,komplikasi,2
1598,smstangan,2
1599,vertigo,2
1600,semarangterima,2
1601,thalassemia,2
1602,cetus,2
1603,smshalo,2
1604,operator,2
1605,nomorbaru,2
1606,smsimunisasi,2
1607,smsjaga,2
1608,yunita,2
1609,smssehat,2
1610,smsbaru,2
1611,sampun,2
1612,smstanda,2
1613,ph,2
1614,puskesamas,2
1615,wacegah,2
1616,wakiat,2
1617,wasimak,2
1618,epilepsi,2
1619,fajar,2
